LTER_site,local_site,year,date,time,pH,cond,ANC,acid,alkal,H+,NH4+,Ca++,Mg++,Na+,K+,Cl-,NO3-,SO4--,PO4---,Si,cat_sum,an_sum,chg_bal,TN,TDN,PN,DON,IN,TP,TDP,PP,DOP,IP,d18O,d18O_sdev,dDeut,dD_sdev,D_excess,Trit,T_sdev,TOC,DOC,POC,comments
NWT,GREEN LAKE 1,2004,2004-06-03,1150,7.09,51.5,304.25,NP,NP,0.08,NP,398.2,35.32,43.98,10.2,3.95,14.69,156.94,NP,45.63,487.78,479.83,0.01,20.82,18.69,2.13,4,14.69,0.12,NP,0.12,NP,NP,-14.61,NP,NP,NP,NP,NP,NP,NP,0.97,NP,NA
NWT,GREEN LAKE 1,2004,2004-06-10,830,6.69,50.4,305.43,NP,NP,0.2,NP,388.32,35.24,43.67,10.26,3.89,15.27,154.92,NP,45.04,477.7,479.52,0,19.42,18.31,1.12,3.03,15.27,0.07,NP,0.07,NP,NP,-14.72,NP,NP,NP,NP,NP,NP,NP,1.05,NP,NA
NWT,GREEN LAKE 1,2004,2004-06-17,1320,7.04,50.5,295.5,NP,NP,0.09,0.92,382.24,34.79,43.58,10.33,4.12,15.69,155.34,NP,45.51,471.95,470.65,0,20.23,18.11,2.13,1.5,16.61,0.13,0.13,NP,0.13,NP,-14.79,NP,NP,NP,NP,NP,NP,NP,0.79,NP,NA
NWT,GREEN LAKE 1,2004,2004-06-24,1255,7,50.1,283.09,NP,NP,0.1,0.65,378.49,34.16,44.02,10.28,3.78,16.79,155.5,NP,46.02,467.71,459.16,0.01,22.57,21.89,0.69,4.45,17.44,0.08,NP,0.08,NP,NP,-15.05,NP,NP,NP,NP,NP,NP,NP,0.77,NP,NA
NWT,GREEN LAKE 1,2004,2004-07-01,1200,7.04,49.3,280.39,NP,NP,0.09,0.87,372.55,34.46,43.11,10.26,3.89,16.81,157.25,NP,46.1,461.34,458.34,0,20.4,21,NP,3.32,17.67,0.12,0.11,0.01,0.11,NP,-15.06,NP,NP,NP,NP,NP,NP,NP,0.93,NP,NA
NWT,GREEN LAKE 1,2004,2004-07-08,1310,7.02,49.3,312.4,NP,NP,0.1,0.96,374.25,34.01,44.02,10.43,4.23,18.1,155.46,NP,46.8,463.77,490.19,-0.03,22.23,22.69,NP,3.64,19.06,0.17,0.1,0.07,0.1,NP,-14.76,NP,NP,NP,NP,NP,NP,NP,0.26,NP,NA
NWT,GREEN LAKE 1,2004,2004-07-15,1240,7.22,49.3,304.89,NP,NP,0.06,0.84,377.1,34.43,45.37,10.66,4.29,17.97,157.69,NP,46.69,468.45,484.83,-0.02,22.17,21.62,0.55,2.82,18.8,0.28,0.25,0.03,0.25,NP,-14.68,NP,NP,NP,NP,NP,NP,NP,0.14,NP,NA
NWT,GREEN LAKE 1,2004,2004-07-22,835,6.89,50.2,315.74,NP,NP,0.13,NP,379.34,35.85,45.37,10.26,4.06,17.48,158.98,NP,47.09,470.94,496.27,-0.03,19.63,20.75,NP,3.26,17.48,0.21,0.14,0.07,0.14,NP,-14.67,NP,NP,NP,NP,NP,NP,NP,0.12,NP,NA
NWT,GREEN LAKE 1,2004,2004-07-29,1330,6.86,50.5,284.55,NP,NP,0.14,0.63,375.7,34.63,45.06,10.26,4.12,17.97,158.88,NP,47.45,466.42,465.51,0,19.35,19.85,NP,1.26,18.59,0.17,0.13,0.03,0.13,NP,-14.63,NP,NP,NP,NP,NP,NP,NP,0.47,NP,NA
NWT,GREEN LAKE 1,2004,2004-08-05,1310,7.02,51.3,296.76,NP,NP,0.1,0.45,387.62,35.13,45.98,10.79,4.01,17.4,157.96,NP,47.28,480.07,476.13,0,19.67,18.34,1.33,0.48,17.85,0.23,NP,0.23,NP,NP,-14.43,NP,NP,NP,NP,NP,NP,NP,0.45,NP,NA
NWT,GREEN LAKE 1,2004,2004-08-12,825,7,51,306.18,NP,NP,0.1,0.71,393.71,35.52,52.2,10.43,4.23,13.18,157.4,NP,47.34,492.67,480.99,0.01,13.84,14.94,NP,1.06,13.88,NP,NP,NP,NP,NP,-14.25,NP,NP,NP,NP,NP,NP,NP,0.43,NP,NA
NWT,GREEN LAKE 1,2004,2004-08-19,1350,6.9,51.8,317.4,NP,NP,0.13,0.93,392.71,36.24,47.02,10.69,4.6,13.31,158.4,NP,48.67,487.72,493.7,-0.01,17.26,17.59,NP,3.35,14.24,0.1,NP,0.1,NP,NP,-14.19,NP,NP,NP,NP,NP,NP,NP,0.6,NP,NA
NWT,GREEN LAKE 1,2004,2004-08-26,1250,7.11,50.7,310.67,NP,NP,0.08,1.73,399.15,35.75,47.59,10.77,5.22,11.47,159.5,NP,46.25,495.07,486.86,0.01,13.31,12.97,0.35,NP,13.2,0.07,0.06,0.01,0.06,NP,-14.16,NP,NP,NP,NP,NP,NP,NP,NP,NP,NA
NWT,GREEN LAKE 1,2004,2004-09-02,1300,6.68,51,316.1,NP,NP,0.21,1.86,401.3,36.42,48.5,11.1,5.22,10.9,160.13,NP,45.51,499.38,492.35,0.01,15.55,15.32,0.23,2.56,12.76,0.14,0.05,0.09,0.05,NP,-14.01,NP,NP,NP,NP,NP,NP,NP,0.8,NP,NA
NWT,GREEN LAKE 1,2004,2004-09-09,1300,7.11,51.3,315.47,NP,NP,0.08,1.39,398.5,36.57,49.72,11.1,5.78,9.68,161.56,NP,45.69,497.37,492.49,0,11.81,11.67,0.14,0.6,11.07,0.11,0.07,0.03,0.07,NP,-13.81,NP,NP,NP,NP,NP,NP,NP,0.74,NP,NA
NWT,GREEN LAKE 1,2004,2004-09-16,1225,6.92,52.1,328.33,NP,NP,0.12,NP,412.52,37.9,49.15,10.36,4.74,10.77,163.71,NP,46.54,510.05,507.55,0,12.08,12.24,NP,1.46,10.77,0.09,0.06,0.03,0.06,NP,-13.63,NP,NP,NP,NP,NP,NP,NP,0.86,NP,NA
NWT,GREEN LAKE 1,2004,2004-09-23,930,6.74,51.3,309.35,NP,NP,0.18,NP,408.78,37.55,48.15,10.31,4.09,12.4,164.89,NP,44.41,504.98,490.74,0.01,16.36,15.72,0.63,3.32,12.4,0.09,0.06,0.02,0.06,NP,-13.45,NP,NP,NP,NP,NP,NP,NP,0.71,NP,NA
NWT,GREEN LAKE 1,2004,2004-09-30,1300,7.36,51.4,322.35,NP,NP,0.04,NP,411.18,38.24,48.28,10.38,4.34,12.32,163.69,NP,45.68,508.13,502.7,0.01,17.29,16.41,0.88,4.09,12.32,0.11,0.08,0.03,0.08,NP,-13.47,NP,NP,NP,NP,NP,NP,NP,0.7,NP,NA
NWT,GREEN LAKE 1,2004,2004-10-07,1330,7.18,51.5,316.4,NP,NP,0.07,NP,412.57,37.63,48.15,10.36,4.37,11.53,166.38,NP,44.25,508.78,498.69,0.01,14,13.72,0.28,2.19,11.53,0.06,0.04,0.02,0.04,NP,-13.49,NP,NP,NP,NP,NP,NP,NP,0.67,NP,NA
NWT,GREEN LAKE 1,2004,2004-10-14,945,7.39,52.1,321.61,NP,NP,0.04,NP,415.97,37.87,48.93,10.28,4.26,12.64,167.81,NP,45,513.1,506.32,0.01,16.09,16.09,NP,3.44,12.64,0.05,0.04,0.01,0.04,NP,-13.46,NP,NP,NP,NP,NP,NP,NP,0.73,NP,NA
NWT,GREEN LAKE 1,2004,2004-10-21,1020,7.27,53.2,320.02,NP,NP,0.05,NP,419.56,38.42,48.2,10.15,4.58,13.76,168.81,NP,45.58,516.38,507.17,0.01,27.21,21.88,5.33,8.12,13.76,NP,NP,NP,NP,NP,-13.41,NP,NP,NP,NP,NP,NP,NP,NP,NP,NA
NWT,GREEN LAKE 1,2004,2004-11-11,1105,7.27,56.5,339.23,NP,NP,0.05,NP,470.76,41.6,51.46,11,4.78,15.86,177.34,NP,49.07,574.87,537.22,0.03,18.87,18.83,0.04,2.96,15.86,NP,NP,NP,NP,NP,-13.59,NP,NP,NP,NP,NP,NP,NP,0.8,NP,NA
NWT,GREEN LAKE 1,2005,2005-06-03,915,6.98,54.7,315.03,NP,NP,0.1,0.82,436.08,37.35,47.72,10.33,4.54,17.85,173.28,0.13,42.31,532.4,510.84,0.02,22.59,23.87,NP,5.19,18.67,0.13,0.09,0.04,0.04,0.04,-14.36,NP,NP,NP,NP,NP,NP,NP,0.7,NP,NA
NWT,GREEN LAKE 1,2005,2005-06-09,845,7.02,52.5,302.11,NP,NP,0.1,NP,430.04,36.81,47.63,9.74,4.4,18.53,172.56,NP,44.52,524.32,497.6,0.03,22.94,22.96,NP,4.43,18.53,NP,NP,NP,NP,NP,-14.65,NP,NP,NP,NP,NP,NP,NP,0.79,NP,NA
NWT,GREEN LAKE 1,2005,2005-06-16,930,7.12,51.6,297.87,NP,NP,0.08,NP,419.31,36.2,47.06,9.74,4.54,18.98,171.7,NP,45.94,512.39,493.1,0.02,19.98,19.3,0.68,0.32,18.98,NP,NP,NP,NP,NP,-14.54,NP,NP,NP,NP,NP,NP,NP,4.09,NP,NA
NWT,GREEN LAKE 1,2005,2005-06-23,920,6.94,51.8,285.38,NP,NP,0.11,NP,408.38,35.85,46.46,9.9,4.23,19.61,171.06,NP,49.59,500.7,480.28,0.02,20.56,21.01,NP,1.4,19.61,NP,NP,NP,NP,NP,-14.74,NP,NP,NP,NP,NP,NP,NP,0.78,NP,NA
NWT,GREEN LAKE 1,2005,2005-06-30,845,6.88,50.3,283.2,NP,NP,0.13,NP,398.25,34.44,45.85,9.72,4.54,19.29,161.42,NP,50.27,488.39,468.45,0.02,21.85,20.85,1,1.56,19.29,0.1,0.04,0.05,0.04,NP,-14.88,NP,NP,NP,NP,NP,NP,NP,0.97,NP,NA
NWT,GREEN LAKE 1,2005,2005-07-07,830,6.81,50,281.7,NP,NP,0.15,0.5,398.75,34.17,45.59,9.9,4.09,18.4,160.67,NP,50.1,489.06,464.86,0.03,22.8,21.98,0.82,3.08,18.9,0.13,0.11,0.02,0.11,NP,-14.72,NP,NP,NP,NP,NP,NP,NP,0.9,NP,NA
NWT,GREEN LAKE 1,2005,2005-07-14,1225,6.95,50.2,285.15,NP,NP,0.11,0.97,399.48,34.61,47.33,10.05,4.15,18.42,159.75,0.18,49.28,492.55,467.65,0.03,20.62,20.63,NP,1.23,19.39,0.09,0.1,NP,0.04,0.06,-14.69,NP,NP,NP,NP,NP,NP,NP,0.82,NP,NA
NWT,GREEN LAKE 1,2005,2005-07-21,840,6.87,49.1,288.38,NP,NP,0.13,0.72,399.35,34.49,47.8,10.13,4.17,16.92,158.02,NP,50.42,492.62,467.5,0.03,19.2,19.5,NP,1.87,17.64,NP,NP,NP,NP,NP,-14.81,NP,NP,NP,NP,NP,NP,NP,0.95,NP,NA
NWT,GREEN LAKE 1,2005,2005-07-28,850,6.94,50.3,292.6,NP,NP,0.11,NP,401.3,34.73,48.41,10.28,4.15,15.13,153.13,NP,51.92,494.84,465.01,0.03,18.58,18.07,0.51,2.94,15.13,0.09,0.07,0.02,0.07,NP,-14.72,NP,NP,NP,NP,NP,NP,NP,0.71,NP,NA
NWT,GREEN LAKE 1,2005,2005-08-04,1215,6.77,49.2,291.26,NP,NP,0.17,NP,397.41,34.75,47.15,10.36,4.23,13.79,153.53,0.15,50.31,489.83,462.96,0.03,19.66,19.29,0.36,5.5,13.79,0.23,0.15,0.08,0.1,0.05,-14.55,NP,NP,NP,NP,NP,NP,NP,0.73,NP,NA
NWT,GREEN LAKE 1,2005,2005-08-11,1225,6.86,49.9,303.49,NP,NP,0.14,0.66,400.65,35.24,49.5,10.66,4.26,11.87,150.88,NP,50.49,496.86,470.5,0.03,18.74,18.5,0.24,5.96,12.53,0.09,NP,0.09,NP,NP,-14.36,NP,NP,NP,NP,NP,NP,NP,0.73,NP,NA
NWT,GREEN LAKE 1,2005,2005-08-18,825,6.93,50.3,308.25,NP,NP,0.12,NP,398,35.4,49.8,10.69,4.23,13.11,148.86,NP,51.05,494.01,474.46,0.02,20.04,20.5,NP,7.39,13.11,0.06,NP,0.06,NP,NP,-14.25,NP,NP,NP,NP,NP,NP,NP,0.77,NP,NA
NWT,GREEN LAKE 1,2005,2005-08-25,1315,6.95,55.59,375.88,NP,NP,0.11,1.52,470.36,43.54,51.07,15.83,4.74,22.45,140.06,0.5,61.9,582.43,543.62,0.03,27.38,26.32,1.06,2.35,23.97,0.21,0.23,NP,0.06,0.17,-13.51,NP,NP,NP,NP,NP,NP,NP,1.88,NP,NA
NWT,GREEN LAKE 1,2005,2005-09-01,1400,6.78,57.5,393.78,NP,NP,0.17,0.94,481.64,44.55,55.02,13.63,4.8,14.84,148.68,NP,71.11,595.94,562.09,0.03,19.16,18.27,0.89,2.49,15.78,0.21,0.08,0.14,0.08,NP,-14.1,NP,NP,NP,NP,NP,NP,NP,0.76,NP,NA
NWT,GREEN LAKE 1,2005,2005-09-08,1325,6.86,60,421.35,NP,NP,0.14,NP,494.51,46.54,56.24,14.94,4.43,12.9,150.38,0.58,74.16,612.37,589.64,0.02,16.09,14.58,1.52,1.67,12.9,0.2,0.2,0.01,NP,0.19,-14.03,NP,NP,NP,NP,NP,NP,NP,1.1,NP,NA
NWT,GREEN LAKE 1,2005,2005-09-15,1350,6.88,60.4,416.75,NP,NP,0.13,0.74,480.04,46.83,53.5,14.22,4.54,12.84,150.2,NP,74.53,595.46,584.32,0.01,15.62,15.19,0.43,1.62,13.57,NP,NP,NP,NP,NP,-13.81,NP,NP,NP,NP,NP,NP,NP,1.08,NP,NA
NWT,GREEN LAKE 1,2005,2005-09-22,1240,6.91,59.6,410.63,NP,NP,0.12,NP,488.37,46.98,51.07,13.91,4.82,11.64,149.82,NP,75.83,600.46,576.92,0.02,14.65,14.19,0.46,2.54,11.64,NP,NP,NP,NP,NP,-13.74,NP,NP,NP,NP,NP,NP,NP,1.13,NP,NA
NWT,GREEN LAKE 1,2005,2005-09-29,1305,6.94,57.5,403.3,NP,NP,0.11,NP,469.86,45.04,51.46,12.99,4.77,12.66,150.31,NP,69.82,579.46,571.04,0.01,15.77,15.44,0.33,2.78,12.66,0.05,NP,0.05,NP,NP,-13.57,NP,NP,NP,NP,NP,NP,NP,1,NP,NA
NWT,GREEN LAKE 1,2005,2005-10-06,1230,6.94,60.4,428.23,NP,NP,0.11,NP,489.52,47.02,51.85,13.3,4.8,11.45,150.9,NP,73.55,601.81,595.38,0.01,14.7,14.13,0.57,2.68,11.45,0.05,NP,0.05,NP,NP,-13.42,NP,NP,NP,NP,NP,NP,NP,1.11,NP,NA
NWT,GREEN LAKE 1,2005,2005-10-13,915,6.95,51.4,334.75,NP,NP,0.11,0.74,418.16,38.18,49.07,10.74,5.02,8.32,151.55,0.2,42.59,517,499.84,0.02,13.39,13.18,0.21,4.12,9.06,0.11,0.09,0.01,0.03,0.07,-13.16,NP,NP,NP,NP,NP,NP,NP,1.26,NP,NA
NWT,GREEN LAKE 1,2005,2005-10-20,1015,7.11,57.6,407.8,NP,NP,0.08,1.64,486.43,46.14,52.33,12.53,5.78,11.1,148.57,NP,62.64,599.14,573.25,0.02,15.35,15.08,0.27,2.35,12.74,NP,NP,NP,NP,NP,-13.1,NP,NP,NP,NP,NP,NP,NP,1.03,NP,NA
NWT,GREEN LAKE 1,2005,2005-11-03,1130,6.88,56.7,396.56,NP,NP,0.13,0.48,481.89,45.19,49.89,11.89,4.74,10.81,152.55,NP,64.55,589.46,564.65,0.02,10.28,10.81,NP,NP,11.28,NP,NP,NP,NP,NP,-13.26,NP,NP,NP,NP,NP,NP,NP,0.9,NP,NA
NWT,GREEN LAKE 1,2005,2005-11-10,1145,7.02,53.8,350.63,NP,NP,0.1,NP,448.4,40.15,50.11,10.97,4.32,8.93,154.96,NP,43.28,549.73,518.84,0.03,12.2,11.39,0.81,2.46,8.93,0.09,NP,0.09,NP,NP,-13.09,NP,NP,NP,NP,NP,NP,NP,1.01,NP,NA
NWT,GREEN LAKE 1,2006,2006-06-01,1335,6.78,48.9,276.05,NP,NP,0.17,NP,379.89,34.95,44.06,10.1,4.2,17.58,151.99,NP,50.94,469.17,449.82,0.02,20.76,21.33,NP,3.75,17.58,NP,NP,NP,NP,NP,-13.8,NP,NP,NP,NP,NP,NP,NP,3,NP,NA
NWT,GREEN LAKE 1,2006,2006-06-08,1220,6.81,51.6,298.65,NP,NP,0.15,NP,398.05,35.92,45.72,10.28,4.88,17.5,157.79,NP,54.37,490.13,478.82,0.01,18.36,17.56,0.81,0.06,17.5,0.15,NP,0.15,NP,NP,-14.99,NP,NP,NP,NP,NP,NP,NP,2.81,NP,NA
NWT,GREEN LAKE 1,2006,2006-06-16,835,6.94,49,283.28,NP,NP,0.11,NP,374.9,34.25,44.5,9.64,5.25,15.58,148.32,NP,50.9,463.4,452.43,0.01,17.22,15.43,1.79,NP,15.58,0.12,NP,0.12,NP,NP,-15.22,NP,NP,NP,NP,NP,NP,NP,1.01,NP,NA
NWT,GREEN LAKE 1,2006,2006-06-22,840,6.99,47,275.21,NP,NP,0.1,NP,376,33.06,43.98,9.87,4.17,12.19,145.03,NP,50.35,463.01,436.61,0.03,18.48,18.29,0.19,6.1,12.19,0.11,NP,0.11,NP,NP,-15.59,NP,NP,NP,NP,NP,NP,NP,0.96,NP,NA
NWT,GREEN LAKE 1,2006,2006-06-29,1315,7.08,45.8,272.37,NP,NP,0.08,0.49,369.06,32.51,44.72,9.79,4.12,10.95,142.85,NP,48.15,456.65,430.28,0.03,16.01,16.94,NP,5.51,11.44,0.11,NP,0.11,NP,NP,-15.49,NP,NP,NP,NP,NP,NP,NP,0.92,NP,NA
NWT,GREEN LAKE 1,2006,2006-07-06,1445,7.2,45.4,268.44,NP,NP,0.06,1.07,360.13,32.17,43.32,9.87,3.92,10.98,137.39,NP,45.64,446.63,420.73,0.03,13.09,13.97,NP,1.92,12.05,0.19,0.15,0.04,0.15,NP,-15.55,NP,NP,NP,NP,NP,NP,NP,0.74,NP,NA
NWT,GREEN LAKE 1,2006,2006-07-13,1325,7.35,44.3,257.7,NP,NP,0.04,0.9,349.9,31.22,42.24,9.62,4.03,9.84,135.54,NP,46.95,433.91,407.11,0.03,11.19,11.95,NP,1.22,10.73,0.25,0.16,0.08,0.16,NP,-15.57,NP,NP,NP,NP,NP,NP,NP,0.71,NP,NA
NWT,GREEN LAKE 1,2006,2006-07-20,1315,7.19,45.6,258.67,NP,NP,0.06,0.8,356.44,32.01,41.58,10.2,4.48,13.11,135.5,NP,47.34,441.1,411.76,0.03,15.35,14.7,0.65,0.79,13.91,0.24,0.19,0.05,0.19,NP,-15.5,NP,NP,NP,NP,NP,NP,NP,1.24,NP,NA
NWT,GREEN LAKE 1,2006,2006-07-27,850,7.05,46.7,276.85,NP,NP,0.09,0.48,362.62,33.15,43.58,10.2,4.23,13.21,135.06,NP,49.23,450.13,429.35,0.02,16.98,16.21,0.77,2.53,13.69,0.18,0.13,0.05,0.13,NP,-15.45,NP,NP,NP,NP,NP,NP,NP,1.13,NP,NA
NWT,GREEN LAKE 1,2006,2006-08-03,1335,7.05,48.6,293.5,NP,NP,0.09,NP,377.89,34.55,45.11,11,4.12,12.29,135.64,NP,51.4,468.64,445.55,0.03,13.94,14.26,NP,1.97,12.29,0.19,NP,0.19,NP,NP,-15.3,NP,NP,NP,NP,NP,NP,NP,2.71,NP,NA
NWT,GREEN LAKE 1,2006,2006-08-10,1345,7.09,50.1,304.68,NP,NP,0.08,NP,387.87,34.5,46.28,11.1,3.61,10.64,134.68,NP,52.42,479.84,453.62,0.03,12.42,12.04,0.38,1.39,10.64,0.14,NP,0.14,NP,NP,-15.18,NP,NP,NP,NP,NP,NP,NP,2.7,NP,NA
NWT,GREEN LAKE 1,2006,2006-08-17,1410,7.04,51.1,326.38,NP,NP,0.09,NP,402.1,36.27,48.59,11.33,4.06,8.92,135.91,NP,59.7,498.37,475.27,0.02,11.77,11.79,NP,2.87,8.92,0.19,NP,0.19,NP,NP,-15.09,NP,NP,NP,NP,NP,NP,NP,3.05,NP,NA
NWT,GREEN LAKE 1,2006,2006-08-24,1445,7.1,53.6,350.4,NP,NP,0.08,0.65,424.85,39.15,50.11,11.97,4.29,8.29,139.56,NP,64.76,526.81,502.53,0.02,9.67,9.75,NP,0.82,8.94,0.1,NP,0.1,NP,NP,-14.88,NP,NP,NP,NP,NP,NP,NP,1.51,NP,NA
NWT,GREEN LAKE 1,2006,2006-08-31,1333,7.05,55.4,372.02,NP,NP,0.09,NP,443.41,42,54.89,14.65,6.8,7.23,141.45,NP,68.61,555.05,527.49,0.03,12.39,8.6,3.78,1.38,7.23,0.05,NP,0.05,NP,NP,-14.76,NP,NP,NP,NP,NP,NP,NP,2.37,NP,NA
NWT,GREEN LAKE 1,2006,2006-09-07,1300,7.13,60,420.85,NP,NP,0.07,0.82,476.05,46.87,54.89,19.9,6.15,8.21,135.08,NP,77.92,598.6,570.29,0.02,12.58,12.41,0.17,3.38,9.03,NP,NP,NP,NP,NP,-14.54,NP,NP,NP,NP,NP,NP,NP,5.86,NP,NA
NWT,GREEN LAKE 1,2006,2006-09-14,810,7.28,55.8,380.18,NP,NP,0.05,NP,446.16,40.92,51.41,12.02,3.81,4.6,139.43,NP,68.27,550.56,528.02,0.02,8.88,7.08,1.8,2.48,4.6,NP,NP,NP,NP,NP,-14.57,NP,NP,NP,NP,NP,NP,NP,2.26,NP,NA
NWT,GREEN LAKE 1,2006,2006-09-26,900,7.05,52.5,342.27,NP,NP,0.09,NP,416.57,38.31,48.67,11.28,3.81,2.45,136.7,NP,62.04,514.92,485.23,0.03,8.09,6.92,1.17,4.46,2.45,0.1,0.06,0.04,0.06,NP,-14.34,NP,NP,NP,NP,NP,NP,NP,3.15,NP,NA
NWT,GREEN LAKE 1,2006,2006-10-05,1100,7.11,63.8,473.66,NP,NP,0.08,0.84,539.22,51.46,56.07,13.43,4.51,6.1,130.73,NP,88.88,661.09,615,0.04,8.28,8.19,0.09,1.25,6.94,NP,NP,NP,NP,NP,-14.35,NP,NP,NP,NP,NP,NP,NP,2.53,NP,NA
NWT,GREEN LAKE 1,2007,2007-05-24,1325,7.23,56.6,339.56,NP,NP,0.0589,1.2793,439.6208,38.4172,48.6738,10.5877,4.654,11.7894,158.5649,u,59.5443,538.6377,514.5684,0.0229,14.7364,14.4492,0.2872,1.3804,13.0687,u,u,u,u,u,-15.0787,0.0562,-113.8915,0.1692,6.7378,NP,NP,NP,0.8285,NP,NA
NWT,GREEN LAKE 1,2007,2007-05-31,1250,7.39,54.2,322.79,NP,NP,0.0407,0.6977,421.507,37.0188,46.3249,10.2808,4.9643,13.6602,156.2955,u,58.5854,515.8698,497.7101,0.0179,13.943,14.4802,u,0.1223,14.3579,u,u,u,u,u,-15.3665,0.0319,-114.1018,0.1267,8.8306,NP,NP,NP,0.8068,NP,NA
NWT,GREEN LAKE 1,2007,2007-06-14,835,7.21,51.1,298.2,NP,NP,0.0617,0.5118,397.2555,33.5637,44.759,10.1785,4.1181,14.1763,156.3164,u,55.1882,486.3301,472.8108,0.0141,20.3337,20.9982,u,6.3102,14.6881,0.1033,u,0.1033,u,u,-15.348,0.0458,-115.3068,0.0373,7.4771,NP,NP,NP,0.7571,NP,NA
NWT,GREEN LAKE 1,2007,2007-06-21,830,7.33,51.1,293.87,NP,NP,0.0468,0.3937,394.3613,33.2346,45.4549,10.1018,4.8515,13.5151,152.4022,u,54.1343,483.5931,464.6388,0.02,17.4846,18.3379,u,4.4291,13.9088,0.0517,u,0.0517,u,u,-15.4131,0.0498,-116.2142,0.1459,7.0904,NP,NP,NP,0.7814,NP,NA
NWT,GREEN LAKE 1,2007,2007-06-28,844,7.37,51.7,290.27,NP,NP,0.0427,0.571,378.9421,32.9878,44.846,9.7693,5.2746,11.9023,144.8237,u,52.9197,467.1589,452.2706,0.0162,16.5733,15.1777,1.3956,2.7044,12.4733,u,u,u,u,u,-15.572,0.0068,-116.1519,0.167,8.4244,NP,NP,NP,0.6612,NP,NA
NWT,GREEN LAKE 1,2007,2007-07-05,1300,7.3,51,288.52,NP,NP,0.0501,1.0095,378.0439,32.9878,44.5415,9.7949,4.1463,12.1281,147.0307,u,52.2273,466.4278,451.8251,0.0159,15.4717,15.3765,0.0952,2.2389,13.1376,u,u,u,u,u,-15.5571,0.0643,-115.7933,0.1336,8.6633,NP,NP,NP,0.727,NP,NA
NWT,GREEN LAKE 1,2007,2007-07-12,1305,7.28,51.1,290.53,NP,NP,0.0525,0.8717,382.8343,33.5637,45.1505,10.2041,4.4284,12.2732,146.3436,u,53.2555,472.6767,453.5752,0.0206,17.5194,17.9275,u,4.7826,13.1449,u,u,u,u,u,-15.6588,0.011,-117.0258,0.0846,8.245,NP,NP,NP,0.3215,NP,NA
NWT,GREEN LAKE 1,2007,2007-07-19,1310,7.4,50.8,297.1,NP,NP,0.0398,0.584,359.0818,33.3169,46.3249,10.869,4.3438,11.1765,145.4692,u,49.1121,450.2164,458.0895,-0.0087,16.5584,13.6132,2.9452,1.8527,11.7605,u,u,u,u,u,-15.432,0.0277,-116.2433,0.2279,7.2126,NP,NP,NP,0.6509,NP,NA
NWT,GREEN LAKE 1,2007,2007-07-26,1340,7.38,51.1,303.21,NP,NP,0.0417,0.805,353.6926,32.5765,46.3249,11.2015,4.5694,9.8863,140.285,u,46.5314,444.6422,457.9507,-0.0147,14.1692,12.828,1.3412,2.1366,10.6914,u,u,u,u,u,-15.4099,0.0526,-116.1453,0.0818,7.1339,NP,NP,NP,0.5908,NP,NA
NWT,GREEN LAKE 1,2007,2007-08-02,1335,7.36,50.5,298.78,NP,NP,0.0437,0.4406,389.6707,33.8105,44.1935,10.2552,4.0899,10.8379,144.1575,u,46.678,478.4141,457.8653,0.0219,13.3058,10.7566,2.5492,u,11.2784,u,u,u,u,u,-15.2838,0.0222,-114.8939,0.1261,7.3762,NP,NP,NP,0.7064,NP,NA
NWT,GREEN LAKE 1,2007,2007-08-09,1305,7.43,50.9,308.35,NP,NP,0.0372,trace,389.2715,34.4686,44.759,10.9457,3.3848,10.5314,141.9089,u,48.8265,479.4819,464.1751,0.0162,13.2768,12.0864,1.1904,1.5549,10.5314,u,u,u,u,u,-15.2115,0.0632,-114.2636,0.2594,7.4286,NP,NP,NP,0.6802,NP,NA
NWT,GREEN LAKE 1,2007,2007-08-16,1335,7.26,52.3,318.42,NP,NP,0.055,trace,404.3413,35.538,45.5419,10.869,4.1463,10.8379,143.408,u,49.7506,496.3452,476.8122,0.0201,15.7405,15.3873,0.3533,4.5494,10.8379,u,u,u,u,u,-15.0641,0.0213,-113.702,0.2766,6.8107,NP,NP,NP,0.6385,NP,NA
NWT,GREEN LAKE 1,2007,2007-08-23,1330,7.38,54.6,352.44,NP,NP,0.0417,0.5266,427.6447,39.1576,48.7608,12.429,5.3028,11.9023,140.285,u,56.0712,528.5604,509.9301,0.0179,16.3677,13.9897,2.378,1.5608,12.4289,0.0355,u,0.0355,u,u,-14.7918,0.0725,-112.1319,0.0668,6.2021,NP,NP,NP,0.6095,NP,NA
NWT,GREEN LAKE 1,2007,2007-08-30,1310,7.32,50.5,330.4,NP,NP,0.0479,0.842,397.0559,35.7848,48.4563,11.9431,5.331,5.2576,138.5986,u,42.2104,494.1299,479.5872,0.0149,19.5932,12.0979,7.4953,5.9983,6.0996,0.0355,u,0.0355,u,u,-14.5598,0.0017,-110.6586,0.1574,5.8195,NP,NP,NP,0.9,NP,NA
NWT,GREEN LAKE 1,2007,2007-09-07,1515,7.51,53.7,362.05,NP,NP,0.0309,0.4249,427.3952,39.1576,49.4132,12.5569,4.0053,7.2414,142.9291,u,51.7447,528.9788,516.2258,0.0122,10.0032,10.4768,u,2.8105,7.6663,u,u,u,u,u,-14.6308,0.0332,-109.7819,0.1357,7.2649,NP,NP,NP,0.7303,NP,NA
